Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3562.330943,3656.858271,3233.568638,3678.635657,3789.327966
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,4286.734144,4234.833963,3713.506943,3641.558247,3874.934178
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,45386.74721,45701.58439,44494.64574,49340.46648,50307.66936
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,20614.89439,20093.20862,18984.61738,19999.07676,
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,66264.08117,62827.39695,52315.66008,66838.32764,88046.32042
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,12494.42464,12957.99911,13047.45768,14927.11686,15892.11853
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11287.35449,11536.25879,10194.44141,12593.15723,15345.09668
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,768.9641303,806.1280144,773.8205575,821.2281941,966.3271101
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1920.20841,1964.980519,1853.893087,2136.15806,2272.454739
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,24175.58312,23405.70611,20398.06099,24160.67605,30436.2783
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,769.8691406,748.0109253,608.3325195,749.7067871,1102.146484
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1484.227069,1462.678352,1492.475904,1633.560119,1598.735991
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,66836.53851,66070.47067,61274.00646,77710.06996,82807.64908
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2450.482931,2398.772963,2222.462143,2232.536956,2203.18966
