,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
218,330.463,50.499,0.0,330.492,50.469,0.0,330.463,50.499,0.0,330.492,50.469,0.0
219,330.492,50.469,0.0,330.573,50.416,0.0,330.492,50.469,0.0,330.573,50.416,0.0
220,330.573,50.416,0.0,330.678,50.32,0.0,330.573,50.416,0.0,330.678,50.32,0.0
221,330.678,50.32,0.0,330.802,50.221,0.0,330.678,50.32,0.0,330.802,50.221,0.0
222,330.802,50.221,0.0,330.873,50.195,0.0,330.802,50.221,0.0,330.873,50.195,0.0
223,330.873,50.195,0.0,330.978,50.151,0.0,330.873,50.195,0.0,330.978,50.151,0.0
224,330.978,50.151,0.0,331.005,50.068,0.0,330.978,50.151,0.0,331.005,50.068,0.0
225,331.005,50.068,0.0,331.013,49.988,0.0,331.005,50.068,0.0,331.013,49.988,0.0
226,331.013,49.988,0.0,331.04,49.905,0.0,331.013,49.988,0.0,331.04,49.905,0.0
227,331.04,49.905,0.0,331.105,49.815,0.0,331.04,49.905,0.0,331.105,49.815,0.0
228,331.105,49.815,0.0,331.131,49.731,0.0,331.105,49.815,0.0,331.131,49.731,0.0
229,331.131,49.731,0.0,331.182,49.657,0.0,331.131,49.731,0.0,331.182,49.657,0.0
230,331.182,49.657,0.0,331.282,49.653,0.0,331.182,49.657,0.0,331.282,49.653,0.0
231,331.282,49.653,0.0,331.438,49.639,0.0,331.282,49.653,0.0,331.438,49.639,0.0
232,331.438,49.639,0.0,331.455,49.583,0.0,331.438,49.639,0.0,331.455,49.583,0.0
233,331.455,49.583,0.0,331.514,49.481,0.0,331.455,49.583,0.0,331.514,49.481,0.0
234,331.514,49.481,0.0,331.548,49.369,0.0,331.514,49.481,0.0,331.548,49.369,0.0
235,331.548,49.369,0.0,331.574,49.286,0.0,331.548,49.369,0.0,331.574,49.286,0.0
236,331.574,49.286,0.0,331.647,49.22,0.0,331.574,49.286,0.0,331.647,49.22,0.0
237,331.647,49.22,0.0,331.683,49.161,0.0,331.647,49.22,0.0,331.683,49.161,0.0
238,331.683,49.161,0.0,331.737,49.099,0.0,331.683,49.161,0.0,331.737,49.099,0.0
239,331.737,49.099,0.0,331.794,48.996,0.0,331.737,49.099,0.0,331.794,48.996,0.0
240,331.794,48.996,0.0,331.838,48.909,0.0,331.794,48.996,0.0,331.838,48.909,0.0
241,331.838,48.909,0.0,331.913,48.803,0.0,331.838,48.909,0.0,331.913,48.803,0.0
242,331.913,48.803,0.0,331.965,48.688,0.0,331.913,48.803,0.0,331.965,48.688,0.0
243,331.965,48.688,0.0,331.989,48.605,0.0,331.965,48.688,0.0,331.989,48.605,0.0
244,331.989,48.605,0.0,332.11,48.609,0.0,331.989,48.605,0.0,332.11,48.609,0.0
245,332.11,48.609,0.0,332.24,48.585,0.0,332.11,48.609,0.0,332.24,48.585,0.0
246,332.24,48.585,0.0,332.251,48.517,0.0,332.24,48.585,0.0,332.251,48.517,0.0
247,332.251,48.517,0.0,332.269,48.421,0.0,332.251,48.517,0.0,332.269,48.421,0.0
248,332.269,48.421,0.0,332.288,48.325,0.0,332.269,48.421,0.0,332.288,48.325,0.0
249,332.288,48.325,0.0,332.296,48.205,0.0,332.288,48.325,0.0,332.296,48.205,0.0
250,332.296,48.205,0.0,332.346,48.09,0.0,332.296,48.205,0.0,332.346,48.09,0.0
251,332.346,48.09,0.0,332.365,47.994,0.0,332.346,48.09,0.0,332.365,47.994,0.0
252,332.365,47.994,0.0,332.378,47.886,0.0,332.365,47.994,0.0,332.378,47.886,0.0
253,332.378,47.886,0.0,332.41,47.775,0.0,332.378,47.886,0.0,332.41,47.775,0.0
254,332.41,47.775,0.0,332.436,47.651,0.0,332.41,47.775,0.0,332.436,47.651,0.0
255,332.436,47.651,0.0,332.537,47.658,0.0,332.436,47.651,0.0,332.537,47.658,0.0
256,332.537,47.658,0.0,332.552,47.602,0.0,332.537,47.658,0.0,332.552,47.602,0.0
257,332.552,47.602,0.0,332.557,47.522,0.0,332.552,47.602,0.0,332.557,47.522,0.0
258,332.536,47.473,0.0,332.557,47.522,0.0,332.536,47.473,0.0,332.557,47.522,0.0
259,332.536,47.473,0.0,332.541,47.393,0.0,332.536,47.473,0.0,332.541,47.393,0.0
260,332.539,47.341,0.0,332.541,47.393,0.0,332.539,47.341,0.0,332.541,47.393,0.0
261,332.526,47.264,0.0,332.539,47.341,0.0,332.526,47.264,0.0,332.539,47.341,0.0
262,332.526,47.264,0.0,332.559,47.205,0.0,332.526,47.264,0.0,332.559,47.205,0.0
263,332.559,47.205,0.0,332.618,47.114,0.0,332.559,47.205,0.0,332.618,47.114,0.0
264,332.618,47.114,0.0,332.666,46.999,0.0,332.618,47.114,0.0,332.666,46.999,0.0
265,332.653,46.922,0.0,332.666,46.999,0.0,332.653,46.922,0.0,332.666,46.999,0.0
266,332.623,46.849,0.0,332.653,46.922,0.0,332.623,46.849,0.0,332.653,46.922,0.0
267,332.622,46.757,0.0,332.623,46.849,0.0,332.622,46.757,0.0,332.623,46.849,0.0
268,332.564,46.755,0.0,332.622,46.757,0.0,332.564,46.755,0.0,332.622,46.757,0.0
269,332.556,46.691,0.0,332.564,46.755,0.0,332.556,46.691,0.0,332.564,46.755,0.0
270,332.554,46.638,0.0,332.556,46.691,0.0,332.554,46.638,0.0,332.556,46.691,0.0
271,332.528,46.485,0.0,332.554,46.638,0.0,332.528,46.485,0.0,332.554,46.638,0.0
272,332.513,46.356,0.0,332.528,46.485,0.0,332.513,46.356,0.0,332.528,46.485,0.0
273,332.511,46.304,0.0,332.513,46.356,0.0,332.511,46.304,0.0,332.513,46.356,0.0
